"'%value%' appears to be a DNS hostname but cannot extract TLD part","'%value%' appears to be a DNS hostname but cannot extract TLD part"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","'%value%' appears to be a DNS hostname but cannot match TLD against known list"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","'%value%' appears to be a DNS hostname but contains a dash in an invalid position"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded"
"'%value%' appears to be a local network name but local network names are not allowed","'%value%' appears to be a local network name but local network names are not allowed"
"'%value%' appears to be an IP address, but IP addresses are not allowed","'%value%' appears to be an IP address, but IP addresses are not allowed"
"'%value%' does not appear to be a valid local network name","'%value%' does not appear to be a valid local network name"
"* Required Fields","* Bắt buộc"
"ALL GROUPS","ALL GROUPS"
"Account Dashboard","Thông tin chung"
"Account Information","Thông tin tài khoản"
"Account Sharing Options","Tùy chọn chia sẽ tài khoản"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>."," Yêu cầu xác nhận tào khoản. Vui lòng kiểu tra link xác nhận trong email và gửi lại email xác nhận<a href=""%s"">Click vào đây</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","Yêu cầu xác nhận tào khoản. Vui lòng kiểu tra link xác nhận trong email và gửi lại email xác nhận<a href=""%s"">click here</a>."
"Action","Action"
"Add New Address","Thêm địa chỉ mới"
"Add New Customer","Thêm khách hàng"
"Add New Customer Group","Thêm nhóm khách hàng"
"Added From","Thêm từ"
"Additional Address Entries","Các địa chỉ phụ khác"
"Address","Địa chỉ"
"Address Book","Sổ địa chỉ"
"Address Books","Sổ địa chỉ"
"Address Information","Thông tin chi tiết"
"Address Templates","Address Templates"
"Addresses","Địa chỉ"
"Admin","Admin"
"All","All"
"All Store Views","All Store Views"
"All countries","All countries"
"Always optional.","Always optional."
"Amount","Amount"
"An error occurred while deleting the address.","Có lỗi xảy ra trong khi xóa địa chỉ."
"An error occurred while retrieving the option value: %s.","An error occurred while retrieving the option value: %s."
"An error occurred while saving the collection, aborting. Error: %s","An error occurred while saving the collection, aborting. Error: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","An invalid option ID is specified for %s (%s), skipping the record."
"Approved","Chấp nhận"
"Are you sure that you want to remove this item?","Bạn chắc chắn muốn xóa sản phẩm này?"
"Are you suAn error occurred while retrieving the option valuere you want to cancel adding of this address?","Bạn chắc chắn muốn hủy địa chỉ này?"
"Are you sure you want to delete this address?","Bạn chắc chắn muốn xóa địa chỉ này?"
"Are you sure?","Are you sure?"
"Array of Entity collections is expected.","Array of Entity collections is expected."
"Assign a Customer Group","Assign a Customer Group"
"Average Sale","Average Sale"
"Back","Quay lại"
"Back - link to the previously viewed page","Quay lại- link đến trang vừa xem"
"Back to Login","Quay lại trang đăng nhập"
"Bad request.","Bad request."
