"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s đã được thêm vào danh sách sản phẩm yêu thích. Click <a href=""%2$s"">vào đây</a> để tiếp tục mua hàng"
"%1$s has been updated in your wishlist.","%1$s đã được cập nhật trong danh sách sản phẩm yêu thích."
"%d product(s) have been added to shopping cart: %s.","%d sản phẩm đã được thêm vào giỏ hàng: %s."
"%s for ""%s"".","%s for ""%s""."
"%s's Wishlist","%s's yêu thích"
"* Required Fields","* Bắt buộc"
"Add All to Cart","Thêm tất cả vào giỏ hàng"
"Add to Cart","Thêm vào giỏ hàng"
"Add to Compare","So sánh"
"Add to Wishlist","Thích sản phẩm này"
"Product Details and Comment", "Mô tả riêng cho sản phẩm này"
"Added From","Added From"
"Added On","Added On"
"An error occurred while adding item to wishlist.","Có lỗi xảy ra trong quá trình thêm sản phẩm vào Sản phẩm yêu thích."
"An error occurred while adding item to wishlist: %s","Có lỗi xảy ra trong quá trình thêm sản phẩm vào Sản phẩm yêu thích: %s"
"An error occurred while deleting the item from wishlist.","Có lỗi xảy ra trong quá trình xóa sản phẩm khỏi Sản phẩm yêu thích."
"An error occurred while deleting the item from wishlist: %s","Aó lỗi xảy ra trong quá trình xóa sản phẩm khỏi Sản phẩm yêu thích: %s"
"An error occurred while updating wishlist.","Cập nhật Sản phẩm yêu thích bị lỗi."
"Are you sure you want to remove this product from your wishlist?","Bạn muốn xóa sản phẩm khỏi Sản phẩm yêu thích?"
"Are you sure you would like to remove this item from the wishlist?","Bạn muốn xóa sản phẩm khỏi Sản phẩm yêu thích?"
"Back","Quay lại"
"Can\'t delete item from wishlist","Không thể xóa sản phẩm khỏi Sản phẩm yêu thích"
"Can\'t save description %s","Không thể lưu miêu tả %s"
"Can\'t update wishlist","Không thể cập nhật Sản hẩm yêu thích"
"Cannot add item to shopping cart","Không thể thêm sản phẩm vào giỏ hàng"
"Cannot add the item to shopping cart.","Không thể thêm sản phẩm vào giỏ hàng."
"Cannot configure product","Không thể chỉnh sửa sản phẩm"
"Cannot create wishlist.","Không tạo được danh sách sản phẩm yêu thích."
"Cannot load wishlist item","Không cập nhật được sản phẩm yêu thích"
"Cannot specify product.","Sản phẩm không xác định được."
"Cannot specify wishlist item.","Không xác định được sản phẩm yêu thích."
"Cannot specify wishlist.","Không xác định được sản phẩm yêu thích."
"Cannot update wishlist","Chưa cập nhật danh sách sản phẩm yêu thích"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Click for price","Click để xem giá"
"Comment","Bình luận"
"Comment:","Bình luận:"
"Configure Wishlist Item","Chỉnh sửa sản phẩm yêu thích"
"Configured Price:","Configured Price:"
"Customer My Account My Wishlist","Customer My Account My Wishlist"
"Customer My Account Wishlist Sharing Form","Customer My Account Wishlist Sharing Form"
"Customer Shared Wishlist View","Customer Shared Wishlist View"
"Date Added","Date Added"
"Days in Wishlist","Days in Wishlist"
"Display Wishlist Summary","Hiển thị tổng số sản phảm yêu thích"
"Edit","Edit"
"Email Sender","Email người gửi"
"Email Template","Mẫu Email"
"Email address can\'t be empty.","Bắt buộc nhập địa chỉ email"
"Email addresses, separated by commas","Email addresses, separated by commas"
"Enabled","Enabled"
"General Options","Cấu hình chung"
"Go to Wishlist","Sản phẩm yêu thích"
"Helper for wishlist options rendering doesn't implement required interface.","Helper for wishlist options rendering doesn't implement required interface."
"Last Added Items","Sản phẩm mới thêm"
"Message","Tin nhắn"
"My Wishlist","Sản phẩm yêu thích"
"My Wishlist (%d item)","Sản phẩm yêu thích (%d)"
"My Wishlist (%d items)","Sản phẩm yêu thích (%d)"
"My Wishlist <small>(%d)</small>","Sản phẩm yêu thích <small>(%d)</small>"
"My Wishlist Link","Sản phẩm yêu thích"
"Options Details","Options Details"
"Out of stock","Hết hàng"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Vui lòng nhập một địa chỉ email hợp lệ, cách nhau bởi dấu phẩy. Ví dụ johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Vui lòng nhập một địa chỉ email hợp lệ."
"Please, enter your comments...","Bạn vui lòng nhập nội dung cho sản phẩm"
"Product","Sản phẩm"
"Product(s) %s have required options. Each of them can be added to cart separately only.","Sản phẩm có tùy chọn bắt buộc."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","Xóa sản phẩm này"
"Remove This Item","Xóa sản phẩm này"
"Remove item","Xóa sản phẩm này"
"Share Options","Cấu hình chia sẻ"
"Share Wishlist","Chia sẻ sản phẩm yêu thích"
"Share Your Wishlist","Chia sẻ sản phẩm yêu thích"
"Sharing Information","Thông tin chia sẻ"
"This product(s) is currently out of stock","Sản phẩm này đã hết hàng"
"Unable to add the following product(s) to shopping cart: %s.","Không thể thêm theo dõi sản phẩm này vào giỏ hàng: %s."
"Update Wishlist","Cập nhật"
"User description","Mô tả người dùng"
"View Details","Xem chi tiết"
"View Product","Xem sản phẩm"
"What's this?","What's this?"
"Wishlist","Sản phẩm yêu thích"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Chia sẻ sản phẩm yêu thích"
"Wishlist is empty now.","Sản phẩm yêu thích đang trống."
"You have no items in your wishlist.","Bạn chưa thích sản phẩm nào."
"Your Wishlist has been shared.","Danh sách sản phẩm yêu thích của bạn đã được gửi đi."
